RK,WSID,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
272,,Gabe Davis (FA),WR111,26,212,328,249.6,29.8,-
273,,Sean Tucker (TB),RB85,23,224,319,267.5,23.8,-
274,,Tai Felton (MIN),WR112,22,173,329,252.0,41.3,-
275,,Luke Musgrave (GB),TE42,24,208,301,253.6,27.0,-
276,,Kimani Vidal (LAC),RB86,23,219,314,269.6,30.4,-
277,,Elijah Mitchell (KC),RB87,27,217,319,270.1,27.0,-
278,,Raheem Mostert (LV),RB88,33,236,324,271.1,20.8,-
279,,Will Dissly (LAC),TE43,29,198,324,253.0,34.6,-
280,,Gunnar Helm (TEN),TE44,22,203,302,248.8,31.6,-
281,,Javon Baker (NE),WR113,23,204,329,257.0,30.3,-
282,,Kenneth Gainwell (PIT),RB89,26,220,321,273.4,26.2,-
283,,Mike Williams (LAC),WR114,30,193,316,252.8,37.0,-
284,,Dont'e Thornton Jr. (LV),WR115,22,190,306,255.3,37.9,-
285,,Tyler Conklin (LAC),TE45,29,222,303,264.3,26.3,-
286,,Sincere McCormick (LV),RB90,24,223,335,270.5,31.0,-
287,,Isaiah Bond (FA),WR116,-,151,330,244.0,55.0,-
288,,Dameon Pierce (HOU),RB91,25,244,325,278.1,22.9,-
289,,Tutu Atwell (LAR),WR117,25,227,317,271.1,26.4,-
290,,Alexander Mattison (MIA),RB92,27,245,330,280.5,23.3,-
291,,Tre Tucker (LV),WR118,24,237,311,267.6,24.3,-
292,,Ty Johnson (BUF),RB93,27,230,334,279.0,26.1,-
293,,Jaylin Lane (WAS),WR119,23,205,308,263.4,32.9,-
Tier 14,,Customize Tiers,,,,,,,
294,,Jalen Nailor (MIN),WR120,26,231,290,264.0,22.3,-
295,,John Metchie III (HOU),WR121,24,234,334,267.5,34.0,-
296,,Malachi Corley (NYJ),WR122,23,243,293,268.3,19.4,-
297,,Will Levis (TEN),QB37,26,152,291,201.4,53.8,-
298,,Demarcus Robinson (SF),WR123,30,230,330,271.4,28.3,-
299,,Curtis Samuel (BUF),WR124,28,234,325,272.0,30.1,-
300,,Chimere Dike (TEN),WR125,23,237,310,273.3,24.6,-
301,,Zamir White (LV),RB94,25,258,320,285.0,21.7,-
302,,Jahan Dotson (PHI),WR126,25,241,342,275.1,31.9,-
303,,Jacory Croskey-Merritt (WAS),RB95,24,218,329,261.0,33.1,-
304,,Ty Chandler (MIN),RB96,27,255,356,281.2,28.8,-
305,,Cam Akers (NO),RB97,26,244,297,265.0,16.9,-
306,,Jalin Hyatt (NYG),WR127,23,255,309,284.3,16.8,-
307,,Jameis Winston (NYG),QB38,31,152,292,201.8,55.8,-
308,,Cade Stover (HOU),TE46,25,250,313,272.6,18.7,-
309,,Devontez Walker (BAL),WR128,24,242,344,289.0,30.9,-
