RK,WSID,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
130,,Darnell Mooney (ATL),WR54,27,113,158,133.4,9.8,-
131,,Stefon Diggs (NE),WR55,31,116,175,136.7,13.9,-
132,,Cam Skattebo (NYG),RB34,23,93,252,136.9,35.3,-
133,,Cooper Kupp (SEA),WR56,32,107,168,137.2,16.4,-
134,,Zach Charbonnet (SEA),RB35,24,101,164,137.5,17.0,-
135,,Dallas Goedert (PHI),TE16,30,96,179,138.8,19.6,-
Tier 10,,Customize Tiers,,,,,,,
136,,Rashid Shaheed (NO),WR57,26,117,176,140.5,16.2,-
137,,Jaxson Dart (NYG),QB29,22,73,156,104.1,22.6,-
138,,Rhamondre Stevenson (NE),RB36,27,102,185,143.0,20.7,-
139,,Jake Ferguson (DAL),TE17,26,124,190,145.1,15.9,-
140,,Bhayshul Tuten (JAC),RB37,23,94,276,146.4,38.6,-
141,,Trey Benson (ARI),RB38,22,110,188,146.4,20.4,-
142,,Isaiah Likely (BAL),TE18,25,123,181,146.4,17.6,-
143,,Pat Freiermuth (PIT),TE19,26,102,185,149.1,20.1,-
144,,Jaylen Warren (PIT),RB39,26,109,181,149.2,17.8,-
145,,Kyle Williams (NE),WR58,22,107,275,149.6,36.0,-
146,,Rashod Bateman (BAL),WR59,25,122,196,149.8,17.1,-
147,,Christian Kirk (HOU),WR60,28,126,206,153.5,21.5,-
148,,Cedric Tillman (CLE),WR61,25,121,199,153.9,19.0,-
149,,Jack Bech (LV),WR62,22,113,278,147.4,35.9,-
150,,Rachaad White (TB),RB40,26,121,188,158.6,15.0,-
151,,Mason Taylor (NYJ),TE20,21,126,277,160.3,34.0,-
152,,Romeo Doubs (GB),WR63,25,138,197,161.8,17.4,-
153,,Tank Bigsby (JAC),RB41,22,109,217,163.6,21.4,-
154,,Marvin Mims Jr. (DEN),WR64,23,131,199,156.8,15.8,-
155,,Tyjae Spears (TEN),RB42,24,132,220,165.8,20.8,-
156,,Cade Otton (TB),TE21,26,131,219,169.2,21.9,-
157,,Javonte Williams (DAL),RB43,25,135,206,169.8,15.8,-
158,,Jordan Mason (MIN),RB44,26,131,223,170.4,23.8,-
159,,Jaylin Noel (HOU),WR65,22,114,296,163.4,45.5,-
160,,Xavier Legette (CAR),WR66,24,136,213,163.8,16.4,-
161,,Tank Dell (HOU),WR67,25,127,256,175.4,33.3,-
162,,Hunter Henry (NE),TE22,30,125,244,176.3,26.7,-
163,,Ray Davis (BUF),RB45,25,137,211,177.7,15.0,-
Tier 11,,Customize Tiers,,,,,,,
164,,Braelon Allen (NYJ),RB46,21,134,228,180.6,21.2,-
165,,Marquise Brown (KC),WR68,28,143,201,166.9,17.0,-
166,,Jaydon Blue (DAL),RB47,21,142,281,181.5,31.4,-
167,,Elijah Arroyo (SEA),TE23,22,126,280,182.1,42.9,-
168,,Wan'Dale Robinson (NYG),WR69,24,125,207,175.8,20.6,-
169,,Isaac Guerendo (SF),RB48,25,149,242,183.4,20.3,-
170,,DeMario Douglas (NE),WR70,24,134,234,183.6,20.4,-
171,,Elic Ayomanor (TEN),WR71,22,130,268,177.4,33.7,-
172,,Tyler Shough (NO),QB30,25,97,153,134.9,13.9,-
173,,Quentin Johnston (LAC),WR72,23,130,216,170.7,20.0,-
174,,Blake Corum (LAR),RB49,24,154,224,184.6,17.0,-
175,,Rico Dowdle (CAR),RB50,27,119,215,178.9,22.8,-
176,,Jaylen Wright (MIA),RB51,22,149,226,179.3,17.5,-
177,,Cole Kmet (CHI),TE24,26,128,239,186.2,30.9,-
178,,Russell Wilson (NYG),QB31,36,76,188,140.8,24.5,-
179,,Jalen Coker (CAR),WR73,23,142,238,182.8,22.3,-
180,,J.K. Dobbins (DEN),RB52,26,124,255,183.0,33.1,-
181,,Harold Fannin Jr. (CLE),TE25,20,139,302,191.0,40.8,-
182,,Adonai Mitchell (IND),WR74,22,150,254,178.3,20.4,-
183,,Jalen Royals (KC),WR75,22,153,252,187.8,25.7,-
184,,Joshua Palmer (BUF),WR76,25,161,238,186.0,22.4,-
