"Rank","Player","Team","Bye","POS","AVG"
"120","Zack Moss","CIN","12 ","RB40","120.5"
"121","Ja'Lynn Polk","NE","14","WR52","122.5"
"122","Pat Freiermuth","PIT","9","TE14","122.5"
"123","Courtland Sutton","DEN","14","WR53","125.5"
"124","Jaylen Wright","MIA","6","RB41","125.5"
"125","DeAndre Hopkins","BAL","14","WR54","125.5"
"126","Josh Downs","IND","14","WR55","126.5"
"127","Cole Kmet","CHI","7","TE15","127.0"
"128","Gus Edwards","","","RB42","130.5"
"129","Jared Goff","DET","5","QB17","131.0"
"130","Khalil Shakir","BUF","12","WR56","133.0"
"131","Jerome Ford","CLE","10","RB43","134.0"
"132","Dontayvion Wicks","GB","10","WR57","136.0"
"133","Jakobi Meyers","LV","10","WR58","136.0"
"134","Luke Musgrave","GB","10","TE16","137.0"
"135","Roman Wilson","PIT","9","WR59","137.0"
"136","Dalton Schultz","HOU","14","TE17","137.5"
"137","Jermaine Burton","CIN","12","WR60","138.0"
"138","Jerry Jeudy","CLE","10","WR61","138.0"
"139","Ben Sinnott","WAS","14","TE18","140.5"
"140","Jahan Dotson","PHI","5","WR62","142.5"
"141","Joshua Palmer","BUF","12","WR63","145.0"
"142","Tyler Allgeier","ATL","12","RB44","146.0"
"143","Tyler Lockett","TEN","5","WR64","146.0"
"144","Rashid Shaheed","N","12 O","WR65","146.5"
"145","Malachi Corley","NYJ","12","WR66","147.0"
"146","Troy Franklin","DEN","14","WR67","150.5"
"147","Quentin Johnston","LAC","5","WR68","150.5"
"148","Kendre Miller","NO","12","RB45","151.5"
"149","Isaiah Likely","BAL","14","TE19","153.5"
"150","Roschon Johnson","CHI","7","RB46","153.5"
"151","Ray Davis","BUF","12","RB47","154.0"
"152","Bucky Irving","TB","11","RB48","154.0"
"153","J.K. Dobbins","DEN","14","RB49","154.0"
"154","Ezekiel Elliott","","","RB50","154.5"
"155","Chuba Hubbard","CAR","11","RB51","157.0"
"156","Drake Maye","NE","14","QB18","157.5"
"157","Jalen McMillan","TB","11","WR69","158.0"
"158","DeMario Douglas","NE","14","WR70","159.0"
"159","Ja'Tavion Sanders","CAR","11","TE20","160.0"
"160","Luke McCaffrey","WAS","14","WR71","162.0"
"161","Audric Estime","DEN","14","RB52","163.0"
"162","Braelon Allen","NYJ","12","RB53","163.0"
"163","Kimani Vidal","LAC","5","RB54","163.5"
"164","Curtis Samuel","BUF","12","WR72","164.0"
"165","Michael Wilson","ARI","11","WR73","164.5"
"166","Ty Chandler","MIN","6","RB55","165.0"
"167","Javon Baker","NE","14","WR74","165.5"
"168","Marvin Mims Jr.","DEN","14","WR75","166.0"
"169","Gabe Davis ","","","WR76","167.5"
"170","Antonio Gibson","NE","14","RB56","168.5"
"171","Rico Dowdle","CAR","11","RB57","169.0"
"172","Bo Nix","DEN","14","QB19","169.0"
"173","Kirk Cousins","ATL","12","QB20","169.5"
"174","Bryce Young","CAR","11","QB21","171.5"
"175","Jaleel McLaughlin","DEN","14","RB58","172.5"
"176","Tyrone Tracy Jr.","NYG","11","RB59","174.0"
"177","Deshaun Watson","CLE","10 ","QB22","177.5"
"178","Keaton Mitchell","BAL","14","RB60","180.0"
"179","Brandin Cooks","NO","12","WR77","180.0"
"180","Will Levis","TEN","5","QB23","180.5"
"181","Will Shipley","PHI","5","RB61","182.0"
"182","Mike Williams","LAC","5","WR78","183.0"
"183","Michael Penix Jr.","ATL","12","QB24","183.0"
"184","Wan'Dale Robinson","NYG","11","WR79","184.0"
"185","Khalil Herbert","IND","14","RB62","185.5"
"186","Rashod Bateman","BAL","14","WR80","186.0"
"187","Michael Mayer","LV","10","TE21","186.5"
"188","Chig Okonkwo","TEN","5","TE22","187.0"
"189","Darnell Mooney","ATL","12","WR81","189.0"
"190","Dameon Pierce","HOU","14","RB63","190.5"
"191","Cade Otton","TB","11","TE23","191.0"
"192","Adam Thielen","CAR","11","WR82","191.0"
"193","Hunter Henry","NE","14","TE24","192.5"
"194","Baker Mayfield","TB","11","QB25","192.5"
